epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,2824.99,2.06085,0.95239,0.85002,0.72234,0.48515,0.5916,0.21405,2.15987,1.06946,0.71861,0.0002774,0.0002774,0.0002774
89,2859.37,2.22054,1.05627,0.84187,0.76132,0.53691,0.59437,0.20749,2.06875,1.09713,0.71771,0.0002576,0.0002576,0.0002576
90,2889.02,2.03721,0.95642,0.82807,0.73155,0.53465,0.56017,0.21524,1.93209,0.98705,0.71279,0.0002378,0.0002378,0.0002378
91,2915.22,1.99745,0.98027,0.83604,0.70746,0.45494,0.53641,0.21393,2.01391,1.00903,0.71376,0.000218,0.000218,0.000218
92,2939.7,1.94298,0.93823,0.84952,0.67634,0.57935,0.5888,0.2369,1.92242,0.89713,0.71365,0.0001982,0.0001982,0.0001982
93,2973.27,2.10365,1.08847,0.85507,0.64708,0.53465,0.56265,0.22644,1.99586,0.94716,0.71475,0.0001784,0.0001784,0.0001784
94,3007.06,1.94458,0.96215,0.84237,0.64554,0.52475,0.56596,0.23068,1.93509,0.95054,0.7155,0.0001586,0.0001586,0.0001586
95,3037.36,2.00827,0.96025,0.82055,0.68159,0.52989,0.602,0.24455,1.8535,0.9207,0.71144,0.0001388,0.0001388,0.0001388
96,3075.3,1.99859,0.94194,0.85122,0.70593,0.54667,0.62979,0.26447,1.774,0.93653,0.70975,0.000119,0.000119,0.000119
97,3111.23,1.91401,0.87886,0.85365,0.72426,0.52016,0.60528,0.24028,1.91948,0.97301,0.7127,9.92e-05,9.92e-05,9.92e-05
98,3141.62,1.99388,0.99852,0.85248,0.74729,0.54455,0.61556,0.24861,1.92586,0.93953,0.71524,7.94e-05,7.94e-05,7.94e-05
99,3177.08,1.86141,0.80679,0.85439,0.75587,0.55182,0.61906,0.23684,1.95567,0.92866,0.71418,5.96e-05,5.96e-05,5.96e-05
100,3213.7,1.94351,0.89405,0.83774,0.73051,0.48312,0.59103,0.22245,2.02395,0.97938,0.71332,3.98e-05,3.98e-05,3.98e-05
